Country,Year,Tempurate_Change,Coastal_or_Landlocked,CO2 emission (Tons),Rural population,Urban population,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use
Albania,1990,0.795,Coastal,172416848.0,2086075.0,1195379.0,5.5561,7.0253,59.2391,23.52,110.5705,2.0,46.9645,72.8581,0.0,16.0124,8.3013,45.2103,2.85,444.4512,131.56912352369383,356.4910168671663,767.1456,196.644,383.3071,474.6951,0.0,0.0,320.8805
Algeria,1990,1.266,Coastal,1227318081.0,12415865.0,13496502.0,55.6487,89.0459,164.2776,4.312,0.0,104.0,1584.441,-111.1403,684.9333,4907.6276,433.8,70.05,68.2961,5786.5052,470.0933651545287,47.5683,5136.7097,89.5395,2444.0853,225.2199,0.0,0.0,71.5838
Angola,1990,0.687,Coastal,115662882.0,7650444.0,4520997.0,25197.622,15300.4301,32.3523,24.7274,346.4974,1.0,100.0467,0.0,9847.2211,63.2208,52.6817,24.28511731117528,67.63136607385836,1306.3437,209.58772835754152,356.4910168671663,204.9251,93.1743,1413.7936,228.6219,0.0,14989.1408,7.0463
Anguilla,1990,0.432,Landlocked,51296.0,0.0,8334.0,0.0,0.0,,3183.4722985984467,0.0,11.481084565896976,2.2211,,,4.4221,1.6083,0.5657,74.01813278081946,65.0723473790681,483.1260997993477,2791.6842277879755,0.0,,6328.357702945321,,0.0,0.0,1.3833
Antigua and Barbuda,1990,0.417,Coastal,10581632.0,43068.0,23628.0,0.0,0.0,0.0024,246.40727646443952,0.0,0.0,10.831,,,6.6125,4.4639,2.405,172.1797793227163,30.9301,252.2141899664796,1807.613681193928,2.3541,1.5849,7.9648,1.3503,0.0,0.0,7.1794
Argentina,1990,0.436,Coastal,3671448186.0,4260175.0,28469564.0,2779.692,1097.1782,1965.4995,914.3008,5128.514,689.0,2920.1255,-40102.7293,81523.288,3033.8224,1210.3655,152.0622,54.0057,8503.6056,2944.794893007237,1143.0728,6469.8462,952.7475,24131.9669,2173.3488,0.0,541.3267,6077.2277
Australia,1990,0.549,Coastal,7540841121.0,2482446.0,14558985.0,54273.0251,4240.9972,1610.9378,926.1,2806.9465,842.0,6863.3182,-10689.5925,58561.2819,7889.5328,3256.9879,1985.6086,7011.0462,3508.5443,7017.6664,156.0347,16030.5215,747.1886,33415.0466,6288.032,0.0,144.6461,4054.9953
Austria,1990,1.262,Landlocked,3453229292.0,2860918.0,4863031.0,0.0557,0.4648,288.2891,926.3422784724488,270.7283,86.0,1046.8399,-15381.5567,1810.7327,1129.6484,867.6655,259.3887,543.2458,1689.2051,1214.7149,1222.7358859516282,11208.7157,774.1069,499.3624,2040.0492,0.0,0.0,1435.7023
Bangladesh,1990,-0.149,Coastal,209893669.0,85151192.0,21037450.0,21.0797,123.4557,2170.1447,29043.6383,18069.5813,32.0,182.8666,0.0,0.0304,157.9176,900.2017,135.1816,1.9104,13847.4293,1723.4721816731344,640.7943,1928.6564,884.0901,4432.9571,2134.213,0.0,123.4557,863.9768
Barbados,1990,0.356,Coastal,18404685.0,162968.0,97406.0,0.0135,0.0,0.106,246.40727646443952,0.0,20.0,28.9206,0.0234,0.0,37.2394,24.0435,20.30702550082988,67.63136607385836,159.6115,209.58772835754152,667.2095244601534,108.0008,8.0807,18.4142,8.1518,0.0,0.0,19.6324
Belize,1990,0.339,Coastal,5188224.0,98531.0,89021.0,13.4721,92.238,1.9772,2.5088,149.7348,14.0,11.3109,-4.961,6351.884,41.7323,2.8655,0.1191,67.63136607385836,254.5859,209.58772835754152,5707.500041555438,1.9105,4.114,28.4958,5.8837,0.0,92.238,12.4797
